,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Death and Life Expectancy,,,,,,,,,,,,,,,,,,,,,,,,
"Topic: Deaths, Death Rates and Mortality",,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Age-Specific Death Rates, Annual",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 10/05/2024,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Per Thousand Residents
Data Series,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 
Total Age Specific Death Rate,6.2,6.3,5.8,5.2,5,5,5,4.8,4.8,4.7,4.6,4.5,4.5,4.4,4.3,4.4,4.5,4.4,4.4,4.4,4.5,4.4,4.3,4.5
  Under 1 Year,2.2,1.8,1.8,1.8,1.7,2.1,2.2,2.4,1.7,1.8,2,1.8,2,2,2.2,2.1,2.1,2.6,2.1,2,2.5,2.9,2.2,2.5
  1 - 4 Years,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3
  5 - 9 Years,0.1,0.1,-,-,0.1,0.1,-,0.1,-,-,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
  10 - 14 Years,0.1,0.2,0.1,0.1,-,0.1,0.1,0.1,0.1,-,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2
  15 - 19 Years,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.3
  20 - 24 Years,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.5,0.5,0.5
  25 - 29 Years,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4
  30 - 34 Years,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6
  35 - 39 Years,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.7,0.6,0.7,0.8,0.7,0.7,0.9,0.8,1
  40 - 44 Years,0.8,0.8,0.8,0.8,0.8,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1,0.9,1.2,1.2,1.3,1.2,1.3,1.2,1.2,1.3,1.4
  45 - 49 Years,1.3,1.4,1.5,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.7,1.7,1.6,1.8,1.9,1.9,1.9,2,2.1,2.1,2,2.2
  50 - 54 Years,2.2,2.3,2.3,2.2,2.1,2.3,2.6,2.4,2.5,2.5,2.7,2.5,2.8,3,3,3.2,3.1,3.2,3.5,3.3,3.5,3.5,3.7,3.5
  55 - 59 Years,3.7,3.6,3.8,3.7,3.7,3.9,3.9,4.1,4.2,4.5,4.3,4.6,4.4,4.5,4.7,5.1,5.1,5.3,5.7,5.8,5.8,6.3,6.4,6.1
  60 - 64 Years,6,6.3,6.4,5.9,5.9,6.3,6.3,6.2,6.5,6.4,7,7.3,7,7.3,7.4,8.1,8.5,9,9.3,9.4,10.1,10.3,10.2,11.2
  65 - 69 Years,9.8,10,9.7,9.2,9,9.5,9.9,10.1,10.4,10.6,11,11.9,12.6,12.5,12.8,13.9,14.1,14.1,16,16.4,17.5,17.6,18,19.6
  70 - 74 Years,15.4,16.2,15.8,15.1,15.3,16.5,16.9,16.7,18.2,18.5,19.6,20,19.9,20.7,21.7,24.1,25.9,23.6,24.8,26.3,28,28,29,29.1
  75 - 79 Years,26.9,28.8,28.2,26.1,27.2,28.3,28.9,30.1,31.8,32.6,33.8,33.3,37,34.9,37.4,39.1,41,42.5,40.9,43.4,51.4,44.8,45.4,50.8
  80 - 84 Years,51.7,54.2,49.8,49.1,49.2,51.4,53.7,53,51.6,56.3,55.7,55.7,57.4,60.4,58.3,63,67.7,66.8,70.7,72.3,74.9,74.3,74.2,81.3
  85 - 89 Years,96.3,101.1,93.4,83.7,84.5,84.6,90.6,87.2,89.7,90.1,89.7,93.3,92.4,97.1,97.6,98.7,106.1,103.6,106.1,107.1,110.4,111.8,116.9,123.5
  90 Years & Over,177.3,185,165.3,143.8,149.5,155.1,151.8,148.5,160.4,163.4,164.7,157.2,158.2,163.6,159.2,157.6,159.2,162.7,163.3,158.3,177.9,162.1,162.4,168.8
,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,
"Data prior to 1980 pertain to total population.  Data from 1980 onwards pertain to resident population (i.e. Singapore citizens and permanent residents). For more information, please refer to the 'Population Trends' publication (www.singstat.gov.sg/publications/population/population-trends).  For more information on Infant Mortality Rate and and Related Indicators, please refer to the Statistics Singapore Newsletter on 'Trends in Infant Mortality Rate and and Related Indicators' (www.singstat.gov.sg/find-data/search-by-theme/population/death-and-life-expectancy/publications-and-methodology).  For more information on Age-Standardised Death Rate, please refer to the Statistics Singapore Newsletter on 'Age-Standardsed Death Rate for Singapore' (www.singstat.gov.sg/find data/search-by-theme/population/death-and-life-expectancy/publications-and-methodology)",,,,,,,,,,,,,,,,,,,,,,,,
Total Age Specific Death Rate -> Under 1 Year (Per Thousand Residents):,,,,,,,,,,,,,,,,,,,,,,,,
Infant mortality rate (deaths of resident infants under 1 year of age per thousand resident live-births).,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 10/07/2024,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,
